Group	Codon_freq	Foreground_Species	Background_Species	ω_value_M0	lnL_M0	np_M0	ω_value_branch_neutral_foreground	ω_value_branch_neutral_background	lnL_bneutral	np_bneutral	ω_value_branchfree_foreground	ω_value_branchfree_background	lnL_bfree	np_bfree	pvalm0_bfree	pavalbne_bfree
Afrotheria	F1x4	Orycteropus_afer	Heterohyrax_brucei,Procavia_capensis,Dugong_dugon,Trichechus_manatus,Loxodonta_africana,Elephas_maximus,Chrysochloris_asiatica,Echinops_telfairi,Elephantulus_edwardii	0.34063	-4045.391148	19	1	0.34397	-4052.843442	19	0.25465	0.34845	-4044.993294	20	0.372379713021451	7.42125556024945E-05
Afrotheria	F3x4	Orycteropus_afer	Heterohyrax_brucei,Procavia_capensis,Dugong_dugon,Trichechus_manatus,Loxodonta_africana,Elephas_maximus,Chrysochloris_asiatica,Echinops_telfairi,Elephantulus_edwardii	0.23351	-3965.200906	19	1	0.22855	-3972.931087	19	0.23343	0.23352	-3965.200906	20	1	8.42537444992607E-05
Afrotheria	F1x4	Procavia_capensis	Heterohyrax_brucei,Dugong_dugon,Trichechus_manatus,Loxodonta_africana,Elephas_maximus,Chrysochloris_asiatica,Echinops_telfairi,Elephantulus_edwardii,Orycteropus_afer	0.34063	-4045.391148	19	1	0.34119	-4046.266574	19	0.0001	0.34323	-4044.193429	20	0.121689662311595	0.041725850810123
Afrotheria	F3x4	Procavia_capensis	Heterohyrax_brucei,Dugong_dugon,Trichechus_manatus,Loxodonta_africana,Elephas_maximus,Chrysochloris_asiatica,Echinops_telfairi,Elephantulus_edwardii,Orycteropus_afer	0.23351	-3965.200906	19	1	0.23262	-3965.463645	19	0.0001	0.2352	-3964.503038	20	0.237438809867975	0.165722891488786
Afrotheria	F1x4	Trichechus_manatus	Heterohyrax_brucei,Procavia_capensis,Dugong_dugon,Loxodonta_africana,Elephas_maximus,Chrysochloris_asiatica,Echinops_telfairi,Elephantulus_edwardii,Orycteropus_afer	0.34063	-4045.391148	19	1	0.34018	-4046.083933	19	0.35394	0.34049	-4045.390111	20	0.963675943950384	0.238803374855079
Afrotheria	F3x4	Trichechus_manatus	Heterohyrax_brucei,Procavia_capensis,Dugong_dugon,Loxodonta_africana,Elephas_maximus,Chrysochloris_asiatica,Echinops_telfairi,Elephantulus_edwardii,Orycteropus_afer	0.23351	-3965.200906	19	1	0.2324	-3965.883469	19	0.32284	0.23266	-3965.129375	20	0.70525574749947	0.219415789819111
Amphibia	F1x4	Bombina_bombina	Geotrypetes_seraphini,Rhinatrema_bivittatum,Spea_bombifrons,Bufo_gargarizans,Hyla_sarda,Xenopus_laevis,Xenopus_tropicalis	0.22133	-6270.234206	15	1	0.20238	-6281.263053	15	0.24064	0.21927	-6270.172826	16	0.726060113533107	2.4818766414184E-06
Amphibia	F3x4	Bombina_bombina	Geotrypetes_seraphini,Rhinatrema_bivittatum,Spea_bombifrons,Bufo_gargarizans,Hyla_sarda,Xenopus_laevis,Xenopus_tropicalis	0.22312	-6249.142894	15	1	0.20746	-6259.385906	15	0.24128	0.22141	-6249.095373	16	0.757862568117025	5.7158640798926E-06
Amphibia	F1x4	Bufo_gargarizans	Geotrypetes_seraphini,Rhinatrema_bivittatum,Spea_bombifrons,Hyla_sarda,Xenopus_laevis,Xenopus_tropicalis,Bombina_bombina	0.22133	-6270.234206	15	1	0.20482	-6280.416563	15	0.21019	0.22259	-6270.212212	16	0.833875940183649	6.25447462422125E-06
Amphibia	F3x4	Bufo_gargarizans	Geotrypetes_seraphini,Rhinatrema_bivittatum,Spea_bombifrons,Hyla_sarda,Xenopus_laevis,Xenopus_tropicalis,Bombina_bombina	0.22312	-6249.142894	15	1	0.20659	-6260.812317	15	0.19846	0.22615	-6249.029411	16	0.633782676671075	1.20713343103693E-06
Amphibia	F1x4	Geotrypetes_seraphini	Rhinatrema_bivittatum,Spea_bombifrons,Bufo_gargarizans,Hyla_sarda,Xenopus_laevis,Xenopus_tropicalis,Bombina_bombina	0.22133	-6270.234206	15	1	0.2059	-6273.069038	15	0.29752	0.21574	-6269.752861	16	0.326510063526748	0.010014283657343
Amphibia	F3x4	Geotrypetes_seraphini	Rhinatrema_bivittatum,Spea_bombifrons,Bufo_gargarizans,Hyla_sarda,Xenopus_laevis,Xenopus_tropicalis,Bombina_bombina	0.22312	-6249.142894	15	1	0.20744	-6252.699841	15	0.27822	0.21863	-6248.878008	16	0.46670273117982	0.005697201255655
Amphibia	F1x4	Hyla_sarda	Geotrypetes_seraphini,Rhinatrema_bivittatum,Spea_bombifrons,Bufo_gargarizans,Xenopus_laevis,Xenopus_tropicalis,Bombina_bombina	0.22133	-6270.234206	15	1	0.20712	-6274.983621	15	0.20169	0.22302	-6270.19689	16	0.784708258397161	0.001974101618037
Amphibia	F3x4	Hyla_sarda	Geotrypetes_seraphini,Rhinatrema_bivittatum,Spea_bombifrons,Bufo_gargarizans,Xenopus_laevis,Xenopus_tropicalis,Bombina_bombina	0.22312	-6249.142894	15	1	0.20772	-6253.085507	15	0.21401	0.22391	-6249.136213	16	0.907974225211502	0.004947340211169
Amphibia	F1x4	Rhinatrema_bivittatum	Geotrypetes_seraphini,Spea_bombifrons,Bufo_gargarizans,Hyla_sarda,Xenopus_laevis,Xenopus_tropicalis,Bombina_bombina	0.22133	-6270.234206	15	1	0.2066	-6275.129094	15	0.20172	0.22304	-6270.195856	16	0.781820304751941	0.001683175897695
Amphibia	F3x4	Rhinatrema_bivittatum	Geotrypetes_seraphini,Spea_bombifrons,Bufo_gargarizans,Hyla_sarda,Xenopus_laevis,Xenopus_tropicalis,Bombina_bombina	0.22312	-6249.142894	15	1	0.20739	-6253.924766	15	0.20579	0.22473	-6249.11438	16	0.811256513733141	0.001923888440251
Amphibia	F1x4	Spea_bombifrons	Geotrypetes_seraphini,Rhinatrema_bivittatum,Bufo_gargarizans,Hyla_sarda,Xenopus_laevis,Xenopus_tropicalis,Bombina_bombina	0.22133	-6270.234206	15	1	0.20403	-6292.060491	15	0.16298	0.22972	-6269.347409	16	0.182937917950518	1.58502799277098E-11
Amphibia	F3x4	Spea_bombifrons	Geotrypetes_seraphini,Rhinatrema_bivittatum,Bufo_gargarizans,Hyla_sarda,Xenopus_laevis,Xenopus_tropicalis,Bombina_bombina	0.22312	-6249.142894	15	1	0.20723	-6268.374014	15	0.17165	0.22962	-6248.58022	16	0.288769798596593	3.13670564583641E-10
