""	"Group"	"test"	"back"	"RELAX_pval"	"RELAX_kval"	"aBSREL_pval"	"BUSTED_pval"	"RELAX_adj.pval"
"156"	"Chiroptera"	"Artibeus_jamaicensis"	"`Hipposideros_armiger,Rhinolophus_ferrumequinum,Node2,Megaderma_lyra,Node1,Pteropus_alecto,Pteropus_giganteus,Pteropus_vampyrus,Node9,Node7,Rousettus_aegyptiacus,Node6,Pteronotus_parnellii,Sturnira_hondurensis,Node18,Phyllostomus_hastatus,Phyllostomus_discolor,Node21,Node17,Desmodus_rotundus,Node16,Node14,Molossus_molossus,Myotis_brandtii,Myotis_lucifugus,Node30,Myotis_davidii,Myotis_myotis,Node33,Node29,Aeorestes_cinereus,Pipistrellus_kuhlii,Pipistrellus_pipistrellus,Node38,Node36,Node28,Miniopterus_natalensis,Node27,Node25,Node13`"	0.1122	0.19	NA	0.5	0.82445
"157"	"Chiroptera"	"Desmodus_rotundus"	"`Hipposideros_armiger,Rhinolophus_ferrumequinum,Node2,Megaderma_lyra,Node1,Pteropus_alecto,Pteropus_giganteus,Pteropus_vampyrus,Node9,Node7,Rousettus_aegyptiacus,Node6,Pteronotus_parnellii,Sturnira_hondurensis,Artibeus_jamaicensis,Node18,Phyllostomus_hastatus,Phyllostomus_discolor,Node21,Node17,Node16,Node14,Molossus_molossus,Myotis_brandtii,Myotis_lucifugus,Node30,Myotis_davidii,Myotis_myotis,Node33,Node29,Aeorestes_cinereus,Pipistrellus_kuhlii,Pipistrellus_pipistrellus,Node38,Node36,Node28,Miniopterus_natalensis,Node27,Node25,Node13`"	0.2108	0.14	NA	0.5	0.82445
"158"	"Chiroptera"	"Hipposideros_armiger"	"`Rhinolophus_ferrumequinum,Node2,Megaderma_lyra,Node1,Pteropus_alecto,Pteropus_giganteus,Pteropus_vampyrus,Node9,Node7,Rousettus_aegyptiacus,Node6,Pteronotus_parnellii,Sturnira_hondurensis,Artibeus_jamaicensis,Node18,Phyllostomus_hastatus,Phyllostomus_discolor,Node21,Node17,Desmodus_rotundus,Node16,Node14,Molossus_molossus,Myotis_brandtii,Myotis_lucifugus,Node30,Myotis_davidii,Myotis_myotis,Node33,Node29,Aeorestes_cinereus,Pipistrellus_kuhlii,Pipistrellus_pipistrellus,Node38,Node36,Node28,Miniopterus_natalensis,Node27,Node25,Node13`"	0.6505	0.9	NA	0.2995	0.8944375
"159"	"Chiroptera"	"Miniopterus_natalensis"	"`Hipposideros_armiger,Rhinolophus_ferrumequinum,Node2,Megaderma_lyra,Node1,Pteropus_alecto,Pteropus_giganteus,Pteropus_vampyrus,Node9,Node7,Rousettus_aegyptiacus,Node6,Pteronotus_parnellii,Sturnira_hondurensis,Artibeus_jamaicensis,Node18,Phyllostomus_hastatus,Phyllostomus_discolor,Node21,Node17,Desmodus_rotundus,Node16,Node14,Molossus_molossus,Myotis_brandtii,Myotis_lucifugus,Node30,Myotis_davidii,Myotis_myotis,Node33,Node29,Aeorestes_cinereus,Pipistrellus_kuhlii,Pipistrellus_pipistrellus,Node38,Node36,Node28,Node27,Node25,Node13`"	0.4401	0	NA	0.5	0.83204
"160"	"Chiroptera"	"Molossus_molossus"	"`Hipposideros_armiger,Rhinolophus_ferrumequinum,Node2,Megaderma_lyra,Node1,Pteropus_alecto,Pteropus_giganteus,Pteropus_vampyrus,Node9,Node7,Rousettus_aegyptiacus,Node6,Pteronotus_parnellii,Sturnira_hondurensis,Artibeus_jamaicensis,Node18,Phyllostomus_hastatus,Phyllostomus_discolor,Node21,Node17,Desmodus_rotundus,Node16,Node14,Myotis_brandtii,Myotis_lucifugus,Node30,Myotis_davidii,Myotis_myotis,Node33,Node29,Aeorestes_cinereus,Pipistrellus_kuhlii,Pipistrellus_pipistrellus,Node38,Node36,Node28,Miniopterus_natalensis,Node27,Node25,Node13`"	0.0114	3.41	0.00246	0.0026	0.2508
"161"	"Chiroptera"	"Myotis_brandtii"	"`Hipposideros_armiger,Rhinolophus_ferrumequinum,Node2,Megaderma_lyra,Node1,Pteropus_alecto,Pteropus_giganteus,Pteropus_vampyrus,Node9,Node7,Rousettus_aegyptiacus,Node6,Pteronotus_parnellii,Sturnira_hondurensis,Artibeus_jamaicensis,Node18,Phyllostomus_hastatus,Phyllostomus_discolor,Node21,Node17,Desmodus_rotundus,Node16,Node14,Molossus_molossus,Myotis_lucifugus,Node30,Myotis_davidii,Myotis_myotis,Node33,Node29,Aeorestes_cinereus,Pipistrellus_kuhlii,Pipistrellus_pipistrellus,Node38,Node36,Node28,Miniopterus_natalensis,Node27,Node25,Node13`"	0.2998	0	NA	0.5	0.82445
"162"	"Chiroptera"	"Myotis_davidii"	"`Hipposideros_armiger,Rhinolophus_ferrumequinum,Node2,Megaderma_lyra,Node1,Pteropus_alecto,Pteropus_giganteus,Pteropus_vampyrus,Node9,Node7,Rousettus_aegyptiacus,Node6,Pteronotus_parnellii,Sturnira_hondurensis,Artibeus_jamaicensis,Node18,Phyllostomus_hastatus,Phyllostomus_discolor,Node21,Node17,Desmodus_rotundus,Node16,Node14,Molossus_molossus,Myotis_brandtii,Myotis_lucifugus,Node30,Myotis_myotis,Node33,Node29,Aeorestes_cinereus,Pipistrellus_kuhlii,Pipistrellus_pipistrellus,Node38,Node36,Node28,Miniopterus_natalensis,Node27,Node25,Node13`"	0.3482	0	NA	0.5	0.83204
"163"	"Chiroptera"	"Myotis_lucifugus"	"`Hipposideros_armiger,Rhinolophus_ferrumequinum,Node2,Megaderma_lyra,Node1,Pteropus_alecto,Pteropus_giganteus,Pteropus_vampyrus,Node9,Node7,Rousettus_aegyptiacus,Node6,Pteronotus_parnellii,Sturnira_hondurensis,Artibeus_jamaicensis,Node18,Phyllostomus_hastatus,Phyllostomus_discolor,Node21,Node17,Desmodus_rotundus,Node16,Node14,Molossus_molossus,Myotis_brandtii,Node30,Myotis_davidii,Myotis_myotis,Node33,Node29,Aeorestes_cinereus,Pipistrellus_kuhlii,Pipistrellus_pipistrellus,Node38,Node36,Node28,Miniopterus_natalensis,Node27,Node25,Node13`"	0.5565	0.13	NA	0.5	0.83204
"164"	"Chiroptera"	"Myotis_myotis"	"`Hipposideros_armiger,Rhinolophus_ferrumequinum,Node2,Megaderma_lyra,Node1,Pteropus_alecto,Pteropus_giganteus,Pteropus_vampyrus,Node9,Node7,Rousettus_aegyptiacus,Node6,Pteronotus_parnellii,Sturnira_hondurensis,Artibeus_jamaicensis,Node18,Phyllostomus_hastatus,Phyllostomus_discolor,Node21,Node17,Desmodus_rotundus,Node16,Node14,Molossus_molossus,Myotis_brandtii,Myotis_lucifugus,Node30,Myotis_davidii,Node33,Node29,Aeorestes_cinereus,Pipistrellus_kuhlii,Pipistrellus_pipistrellus,Node38,Node36,Node28,Miniopterus_natalensis,Node27,Node25,Node13`"	0.4216	0	NA	0.5	0.83204
"165"	"Chiroptera"	"Phyllostomus_discolor"	"`Hipposideros_armiger,Rhinolophus_ferrumequinum,Node2,Megaderma_lyra,Node1,Pteropus_alecto,Pteropus_giganteus,Pteropus_vampyrus,Node9,Node7,Rousettus_aegyptiacus,Node6,Pteronotus_parnellii,Sturnira_hondurensis,Artibeus_jamaicensis,Node18,Phyllostomus_hastatus,Node21,Node17,Desmodus_rotundus,Node16,Node14,Molossus_molossus,Myotis_brandtii,Myotis_lucifugus,Node30,Myotis_davidii,Myotis_myotis,Node33,Node29,Aeorestes_cinereus,Pipistrellus_kuhlii,Pipistrellus_pipistrellus,Node38,Node36,Node28,Miniopterus_natalensis,Node27,Node25,Node13`"	0.7357	0.77	NA	0.5	0.952082352941176
