""	"Group"	"test"	"back"	"RELAX_pval"	"RELAX_kval"	"aBSREL_pval"	"BUSTED_pval"	"RELAX_adj.pval"
"166"	"Chiroptera"	"Phyllostomus_hastatus"	"`Hipposideros_armiger,Rhinolophus_ferrumequinum,Node2,Megaderma_lyra,Node1,Pteropus_alecto,Pteropus_giganteus,Pteropus_vampyrus,Node9,Node7,Rousettus_aegyptiacus,Node6,Pteronotus_parnellii,Sturnira_hondurensis,Artibeus_jamaicensis,Node18,Phyllostomus_discolor,Node21,Node17,Desmodus_rotundus,Node16,Node14,Molossus_molossus,Myotis_brandtii,Myotis_lucifugus,Node30,Myotis_davidii,Myotis_myotis,Node33,Node29,Aeorestes_cinereus,Pipistrellus_kuhlii,Pipistrellus_pipistrellus,Node38,Node36,Node28,Miniopterus_natalensis,Node27,Node25,Node13`"	0.1719	0.16	NA	0.5	0.82445
"167"	"Chiroptera"	"Pipistrellus_kuhlii"	"`Hipposideros_armiger,Rhinolophus_ferrumequinum,Node2,Megaderma_lyra,Node1,Pteropus_alecto,Pteropus_giganteus,Pteropus_vampyrus,Node9,Node7,Rousettus_aegyptiacus,Node6,Pteronotus_parnellii,Sturnira_hondurensis,Artibeus_jamaicensis,Node18,Phyllostomus_hastatus,Phyllostomus_discolor,Node21,Node17,Desmodus_rotundus,Node16,Node14,Molossus_molossus,Myotis_brandtii,Myotis_lucifugus,Node30,Myotis_davidii,Myotis_myotis,Node33,Node29,Aeorestes_cinereus,Pipistrellus_pipistrellus,Node38,Node36,Node28,Miniopterus_natalensis,Node27,Node25,Node13`"	1	0.94	NA	0.5	1
"168"	"Chiroptera"	"Pteronotus_parnellii"	"`Hipposideros_armiger,Rhinolophus_ferrumequinum,Node2,Megaderma_lyra,Node1,Pteropus_alecto,Pteropus_giganteus,Pteropus_vampyrus,Node9,Node7,Rousettus_aegyptiacus,Node6,Sturnira_hondurensis,Artibeus_jamaicensis,Node18,Phyllostomus_hastatus,Phyllostomus_discolor,Node21,Node17,Desmodus_rotundus,Node16,Node14,Molossus_molossus,Myotis_brandtii,Myotis_lucifugus,Node30,Myotis_davidii,Myotis_myotis,Node33,Node29,Aeorestes_cinereus,Pipistrellus_kuhlii,Pipistrellus_pipistrellus,Node38,Node36,Node28,Miniopterus_natalensis,Node27,Node25,Node13`"	0.1159	3.02	0.00789	0.5	0.82445
"169"	"Chiroptera"	"Pteropus_alecto"	"`Hipposideros_armiger,Rhinolophus_ferrumequinum,Node2,Megaderma_lyra,Node1,Pteropus_giganteus,Pteropus_vampyrus,Node9,Node7,Rousettus_aegyptiacus,Node6,Pteronotus_parnellii,Sturnira_hondurensis,Artibeus_jamaicensis,Node18,Phyllostomus_hastatus,Phyllostomus_discolor,Node21,Node17,Desmodus_rotundus,Node16,Node14,Molossus_molossus,Myotis_brandtii,Myotis_lucifugus,Node30,Myotis_davidii,Myotis_myotis,Node33,Node29,Aeorestes_cinereus,Pipistrellus_kuhlii,Pipistrellus_pipistrellus,Node38,Node36,Node28,Miniopterus_natalensis,Node27,Node25,Node13`"	0.9021	0.9	NA	0.5	1
"170"	"Chiroptera"	"Pteropus_giganteus"	"`Hipposideros_armiger,Rhinolophus_ferrumequinum,Node2,Megaderma_lyra,Node1,Pteropus_alecto,Pteropus_vampyrus,Node9,Node7,Rousettus_aegyptiacus,Node6,Pteronotus_parnellii,Sturnira_hondurensis,Artibeus_jamaicensis,Node18,Phyllostomus_hastatus,Phyllostomus_discolor,Node21,Node17,Desmodus_rotundus,Node16,Node14,Molossus_molossus,Myotis_brandtii,Myotis_lucifugus,Node30,Myotis_davidii,Myotis_myotis,Node33,Node29,Aeorestes_cinereus,Pipistrellus_kuhlii,Pipistrellus_pipistrellus,Node38,Node36,Node28,Miniopterus_natalensis,Node27,Node25,Node13`"	1	0.89	NA	0.5	1
"171"	"Chiroptera"	"Pteropus_vampyrus"	"`Hipposideros_armiger,Rhinolophus_ferrumequinum,Node2,Megaderma_lyra,Node1,Pteropus_alecto,Pteropus_giganteus,Node9,Node7,Rousettus_aegyptiacus,Node6,Pteronotus_parnellii,Sturnira_hondurensis,Artibeus_jamaicensis,Node18,Phyllostomus_hastatus,Phyllostomus_discolor,Node21,Node17,Desmodus_rotundus,Node16,Node14,Molossus_molossus,Myotis_brandtii,Myotis_lucifugus,Node30,Myotis_davidii,Myotis_myotis,Node33,Node29,Aeorestes_cinereus,Pipistrellus_kuhlii,Pipistrellus_pipistrellus,Node38,Node36,Node28,Miniopterus_natalensis,Node27,Node25,Node13`"	0.8036	0	NA	0.4872	0.982177777777778
"172"	"Chiroptera"	"Rhinolophus_ferrumequinum"	"`Hipposideros_armiger,Node2,Megaderma_lyra,Node1,Pteropus_alecto,Pteropus_giganteus,Pteropus_vampyrus,Node9,Node7,Rousettus_aegyptiacus,Node6,Pteronotus_parnellii,Sturnira_hondurensis,Artibeus_jamaicensis,Node18,Phyllostomus_hastatus,Phyllostomus_discolor,Node21,Node17,Desmodus_rotundus,Node16,Node14,Molossus_molossus,Myotis_brandtii,Myotis_lucifugus,Node30,Myotis_davidii,Myotis_myotis,Node33,Node29,Aeorestes_cinereus,Pipistrellus_kuhlii,Pipistrellus_pipistrellus,Node38,Node36,Node28,Miniopterus_natalensis,Node27,Node25,Node13`"	0.5398	1.16	NA	0.5	0.83204
"173"	"Chiroptera"	"Rousettus_aegyptiacus"	"`Hipposideros_armiger,Rhinolophus_ferrumequinum,Node2,Megaderma_lyra,Node1,Pteropus_alecto,Pteropus_giganteus,Pteropus_vampyrus,Node9,Node7,Node6,Pteronotus_parnellii,Sturnira_hondurensis,Artibeus_jamaicensis,Node18,Phyllostomus_hastatus,Phyllostomus_discolor,Node21,Node17,Desmodus_rotundus,Node16,Node14,Molossus_molossus,Myotis_brandtii,Myotis_lucifugus,Node30,Myotis_davidii,Myotis_myotis,Node33,Node29,Aeorestes_cinereus,Pipistrellus_kuhlii,Pipistrellus_pipistrellus,Node38,Node36,Node28,Miniopterus_natalensis,Node27,Node25,Node13`"	0.2975	0	NA	0.5	0.82445
"174"	"Chiroptera"	"Sturnira_hondurensis"	"`Hipposideros_armiger,Rhinolophus_ferrumequinum,Node2,Megaderma_lyra,Node1,Pteropus_alecto,Pteropus_giganteus,Pteropus_vampyrus,Node9,Node7,Rousettus_aegyptiacus,Node6,Pteronotus_parnellii,Artibeus_jamaicensis,Node18,Phyllostomus_hastatus,Phyllostomus_discolor,Node21,Node17,Desmodus_rotundus,Node16,Node14,Molossus_molossus,Myotis_brandtii,Myotis_lucifugus,Node30,Myotis_davidii,Myotis_myotis,Node33,Node29,Aeorestes_cinereus,Pipistrellus_kuhlii,Pipistrellus_pipistrellus,Node38,Node36,Node28,Miniopterus_natalensis,Node27,Node25,Node13`"	0.5673	0.72	NA	0.5	0.83204
"175"	"Chiroptera"	"Aeorestes_cinereus"	"`Hipposideros_armiger,Rhinolophus_ferrumequinum,Node2,Megaderma_lyra,Node1,Pteropus_alecto,Pteropus_giganteus,Pteropus_vampyrus,Node9,Node7,Rousettus_aegyptiacus,Node6,Pteronotus_parnellii,Sturnira_hondurensis,Artibeus_jamaicensis,Node18,Phyllostomus_hastatus,Phyllostomus_discolor,Node21,Node17,Desmodus_rotundus,Node16,Node14,Molossus_molossus,Myotis_brandtii,Myotis_lucifugus,Node30,Myotis_davidii,Myotis_myotis,Node33,Node29,Pipistrellus_kuhlii,Pipistrellus_pipistrellus,Node38,Node36,Node28,Miniopterus_natalensis,Node27,Node25,Node13`"	0.5398	1.16	NA	0.5	0.83204
"176"	"Chiroptera"	"Megaderma_lyra"	"`Hipposideros_armiger,Rhinolophus_ferrumequinum,Node2,Node1,Pteropus_alecto,Pteropus_giganteus,Pteropus_vampyrus,Node9,Node7,Rousettus_aegyptiacus,Node6,Pteronotus_parnellii,Sturnira_hondurensis,Artibeus_jamaicensis,Node18,Phyllostomus_hastatus,Phyllostomus_discolor,Node21,Node17,Desmodus_rotundus,Node16,Node14,Molossus_molossus,Myotis_brandtii,Myotis_lucifugus,Node30,Myotis_davidii,Myotis_myotis,Node33,Node29,Aeorestes_cinereus,Pipistrellus_kuhlii,Pipistrellus_pipistrellus,Node38,Node36,Node28,Miniopterus_natalensis,Node27,Node25,Node13`"	0.2509	0.09	NA	0.5	0.82445
"177"	"Chiroptera"	"Pipistrellus_pipistrellus"	"`Hipposideros_armiger,Rhinolophus_ferrumequinum,Node2,Megaderma_lyra,Node1,Pteropus_alecto,Pteropus_giganteus,Pteropus_vampyrus,Node9,Node7,Rousettus_aegyptiacus,Node6,Pteronotus_parnellii,Sturnira_hondurensis,Artibeus_jamaicensis,Node18,Phyllostomus_hastatus,Phyllostomus_discolor,Node21,Node17,Desmodus_rotundus,Node16,Node14,Molossus_molossus,Myotis_brandtii,Myotis_lucifugus,Node30,Myotis_davidii,Myotis_myotis,Node33,Node29,Aeorestes_cinereus,Pipistrellus_kuhlii,Node38,Node36,Node28,Miniopterus_natalensis,Node27,Node25,Node13`"	0.9145	0.81	NA	0.5	1
